line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Abu_Dhabi"" title=""Abu Dhabi"">Abu Dhabi</a></th>",Abu Dhabi,/wiki/Abu_Dhabi,24.467,54.367, United Arab Emirates
"<th scope=""row""><a href=""/wiki/Monterrey"" title=""Monterrey"">Monterrey</a></th>",Monterrey,/wiki/Monterrey,25.667,-100.3,NA
"<th scope=""row""><a href=""/wiki/Tripoli"" title=""Tripoli"">Tripoli</a></th>",Tripoli,/wiki/Tripoli,32.88722,13.19139,Libya
"<th scope=""row""><a href=""/wiki/Rostov-on-Don"" title=""Rostov-on-Don"">Rostov-on-Don</a></th>",Rostov-on-Don,/wiki/Rostov-on-Don,NA,NA,Russia
"<th scope=""row""><a href=""/wiki/T%27bilisi"" class=""mw-redirect"" title=""T'bilisi"">T'bilisi</a></th>",T'bilisi,/wiki/T%27bilisi,41.717,44.783,Georgia
"<th scope=""row""><a href=""/wiki/Fez,_Morocco"" title=""Fez, Morocco"">Fez</a></th>",Fez,"/wiki/Fez,_Morocco",34.033,-5,Morocco
"<th scope=""row""><a href=""/wiki/Birmingham"" title=""Birmingham"">Birmingham</a></th>",Birmingham,/wiki/Birmingham,52.48306,-1.89361,NA
"<th scope=""row""><a href=""/wiki/Yerevan"" title=""Yerevan"">Yerevan</a></th>",Yerevan,/wiki/Yerevan,40.183,44.517,Armenia
"<th scope=""row""><a href=""/wiki/Cologne"" title=""Cologne"">Cologne</a></th>",Cologne,/wiki/Cologne,50.93639,6.95278,Germany
"<th scope=""row""><a href=""/wiki/Tunis"" title=""Tunis"">Tunis</a></th>",Tunis,/wiki/Tunis,36.80639,10.18167,NA
